drugbank_id,partner_id,substrate,inducer,inhibitor
DB00006,BE0001075,0,0,1
DB00008,BE0002433,0,0,1
DB00011,BE0002433,0,0,1
DB00013,BE0001198,1,0,0
DB00018,BE0002433,0,0,1
DB00019,BE0000394,1,0,0
DB00022,BE0002433,0,0,1
DB00022,BE0002363,0,0,1
DB00022,BE0002793,0,1,0
DB00025,BE0000048,0,0,0
DB00025,BE0000380,1,0,0
DB00030,BE0001183,1,0,0
DB00030,BE0002124,0,0,0
DB00030,BE0002125,0,0,0
DB00030,BE0002433,0,1,0
DB00033,BE0002433,0,0,1
DB00034,BE0002433,0,0,1
DB00035,BE0000262,0,1,0
DB00035,BE0000017,0,1,0
DB00041,BE0000262,0,1,0
DB00041,BE0000657,0,1,0
DB00041,BE0002638,0,0,1
DB00041,BE0002204,0,1,0
DB00041,BE0003533,0,0,1
DB00046,BE0002433,0,1,0
DB00046,BE0001183,1,0,0
DB00047,BE0002433,0,1,0
DB00052,BE0002433,0,1,0
DB00052,BE0003536,0,0,1
DB00060,BE0002433,0,0,1
DB00068,BE0002433,0,0,1
DB00069,BE0002433,0,0,1
DB00071,BE0002433,0,1,0
DB00071,BE0001183,1,0,0
DB00082,BE0000549,0,1,0
DB00082,BE0002240,0,0,1
DB00082,BE0002638,0,1,0
DB00082,BE0002180,0,0,1
DB00082,BE0000421,0,0,1
DB00086,BE0000657,0,1,0
DB00091,BE0003536,0,0,1
DB00091,BE0002363,0,0,1
DB00091,BE0002362,1,0,0
DB00091,BE0002638,1,0,1
DB00099,BE0000394,1,0,0
DB00104,BE0001075,0,0,1
DB00104,BE0002638,0,0,1
DB00105,BE0002433,0,0,1
DB00107,BE0002148,1,0,0
DB00107,BE0010031,1,0,0
DB00109,BE0003536,1,0,0
DB00109,BE0003533,1,0,0
DB00115,BE0000456,1,0,0
DB00115,BE0002668,0,0,0
DB00118,BE0000300,1,0,0
DB00118,BE0003533,0,0,1
DB00121,BE0001111,0,1,0
DB00122,BE0002190,1,0,0
DB00122,BE0000237,1,0,0
DB00122,BE0000519,1,0,0
DB00122,BE0000784,1,0,0
DB00122,BE0000636,1,0,0
DB00126,BE0001979,1,0,0
DB00127,BE0000111,1,0,0
DB00127,BE0000275,1,0,0
DB00127,BE0002204,0,0,1
DB00128,BE0002227,1,0,0
DB00130,BE0000004,1,0,0
DB00130,BE0000825,1,0,0
DB00130,BE0000003,1,0,0
DB00130,BE0001035,1,0,0
DB00130,BE0002236,1,0,0
DB00130,BE0002239,1,0,0
DB00130,BE0002241,1,0,0
DB00130,BE0002243,1,0,0
DB00130,BE0001273,1,0,0
DB00130,BE0002245,1,0,0
DB00130,BE0000321,1,0,0
DB00130,BE0000219,1,0,0
DB00130,BE0000273,1,0,0
DB00130,BE0002235,1,0,0
DB00130,BE0002237,1,0,0
DB00130,BE0002238,1,0,0
DB00130,BE0002227,1,0,0
DB00130,BE0002242,1,0,0
DB00130,BE0002244,1,0,0
DB00131,BE0000352,1,0,0
DB00131,BE0000115,1,0,0
DB00134,BE0000304,1,0,0
DB00134,BE0000432,1,0,0
DB00134,BE0000407,1,0,0
DB00134,BE0000288,1,0,0
DB00134,BE0000170,1,0,0
DB00134,BE0000543,1,0,0
DB00134,BE0002248,1,0,0
DB00134,BE0002178,1,0,0
DB00134,BE0002249,0,0,0
DB00134,BE0002240,0,0,1
DB00134,BE0002176,0,0,1
DB00136,BE0002250,1,1,0
DB00136,BE0002638,1,1,0
DB00139,BE0002257,1,0,0
