drugbank_id,partner_id,substrate,inducer,inhibitor
DB00027,BE0001032,1,0,1
DB00052,BE0001032,1,0,0
DB00067,BE0001069,1,0,0
DB00080,BE0001032,1,0,0
DB00091,BE0001032,1,0,1
DB00091,BE0000703,1,0,1
DB00091,BE0003643,0,0,1
DB00091,BE0003644,0,0,1
DB00091,BE0001066,1,0,1
DB00091,BE0003651,1,0,1
DB00091,BE0001069,0,0,1
DB00091,BE0001067,0,0,1
DB00091,BE0001004,1,0,1
DB00091,BE0003659,0,0,1
DB00103,BE0004494,1,0,0
DB00104,BE0001032,1,0,0
DB00104,BE0001069,1,0,1
DB00107,BE0010032,0,0,0
DB00115,BE0000340,1,0,0
DB00115,BE0000238,1,0,0
DB00115,BE0000362,1,0,0
DB00115,BE0004690,1,0,0
DB00115,BE0000936,1,0,0
DB00115,BE0000942,0,0,0
DB00115,BE0000785,0,0,0
DB00116,BE0001069,0,0,1
DB00117,BE0003654,1,0,1
DB00119,BE0000440,1,0,1
DB00119,BE0000669,1,0,1
DB00119,BE0003654,1,0,1
DB00119,BE0003655,0,0,1
DB00119,BE0000449,1,0,0
DB00120,BE0003654,0,0,1
DB00121,BE0000094,1,0,0
DB00121,BE0004708,1,0,0
DB00122,BE0003647,1,0,1
DB00122,BE0003648,1,0,1
DB00122,BE0003650,0,0,1
DB00122,BE0000106,0,0,1
DB00122,BE0000757,0,0,1
DB00122,BE0001059,1,0,0
DB00122,BE0002182,1,0,0
DB00122,BE0002183,1,0,0
DB00122,BE0002184,1,0,0
DB00122,BE0000696,1,0,0
DB00123,BE0003654,1,0,1
DB00123,BE0000757,0,0,1
DB00125,BE0000106,0,0,1
DB00125,BE0003654,0,0,1
DB00125,BE0000757,0,0,1
DB00126,BE0000168,1,0,0
DB00126,BE0009869,1,0,0
DB00126,BE0001057,1,0,0
DB00126,BE0004707,1,0,0
DB00126,BE0000893,1,0,0
DB00127,BE0000757,0,0,1
DB00127,BE0003648,1,0,0
DB00128,BE0003654,0,0,1
DB00130,BE0009870,1,0,0
DB00130,BE0009871,1,0,0
DB00130,BE0000285,1,0,0
DB00130,BE0000236,1,0,0
DB00130,BE0000423,1,0,0
DB00130,BE0004769,1,0,0
DB00130,BE0009872,1,0,0
DB00130,BE0000222,1,0,0
DB00130,BE0000789,1,0,0
DB00130,BE0002251,1,0,0
DB00130,BE0003654,0,0,1
DB00133,BE0003654,0,0,1
DB00134,BE0003654,0,0,1
DB00135,BE0000178,0,0,1
DB00135,BE0003654,0,0,1
DB00138,BE0003654,0,0,1
DB00138,BE0002251,0,0,0
DB00138,BE0001130,0,0,0
DB00139,BE0003645,1,0,0
DB00139,BE0002261,0,0,0
DB00139,BE0000022,0,0,1
DB00139,BE0000447,1,0,0
DB00139,BE0000611,1,0,0
DB00140,BE0001066,0,0,1
DB00142,BE0003654,1,0,1
DB00142,BE0000669,1,0,0
DB00142,BE0002275,0,0,0
DB00142,BE0002276,0,0,0
DB00143,BE0000785,1,0,1
DB00143,BE0001069,1,0,1
DB00143,BE0001061,1,0,0
DB00143,BE0001188,1,0,0
DB00143,BE0003639,1,0,0
DB00145,BE0003654,1,0,1
DB00145,BE0000536,1,0,0
DB00145,BE0002308,1,0,0
DB00145,BE0002310,1,0,0
DB00145,BE0000940,1,0,0
DB00148,BE0000106,0,0,1
DB00149,BE0003654,0,0,1
DB00149,BE0000178,1,0,0
DB00150,BE0000178,0,0,1
DB00150,BE0003654,0,0,1
DB00151,BE0003654,0,0,1
DB00152,BE0003647,0,0,1
DB00152,BE0003648,1,0,0
DB00152,BE0000106,0,0,1
DB00152,BE0003530,1,0,0
DB00152,BE0000963,1,0,0
DB00155,BE0001066,1,0,0
DB00156,BE0003654,0,0,1
DB00158,BE0003658,1,0,0
DB00158,BE0001061,1,0,0
DB00158,BE0001066,0,0,1
DB00158,BE0001188,0,0,1
DB00158,BE0001067,1,0,0
DB00158,BE0001048,1,0,0
DB00158,BE0000730,1,0,0
DB00160,BE0003654,0,0,1
DB00161,BE0003654,0,0,1
DB00162,BE0009879,1,0,0
DB00163,BE0000189,1,0,0
DB00163,BE0000119,1,0,0
DB00163,BE0000802,1,0,0
DB00163,BE0001168,1,0,0
DB00165,BE0003546,1,0,0
DB00167,BE0003654,0,0,1
DB00168,BE0001066,0,0,1
DB00168,BE0003645,0,0,1
DB00168,BE0000879,0,0,1
DB00172,BE0003654,0,0,1
DB00174,BE0003654,0,0,1
DB00175,BE0001004,1,0,0
DB00175,BE0001042,1,0,0
DB00175,BE0001032,1,0,0
DB00175,BE0003642,1,0,0
DB00175,BE0001066,0,0,1
DB00175,BE0003645,1,0,1
DB00175,BE0001069,1,0,0
DB00175,BE0000879,1,0,0
DB00175,BE0001067,1,0,0
DB00175,BE0003646,1,0,0
DB00175,BE0000669,1,0,0
DB00175,BE0000703,1,0,0
DB00175,BE0003659,1,0,0
